                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9042,                 4.5061,                   4.22,                0.00428,                 0.1223,                0.00284,                 0.0008,                 3.7558,                 4.3112,                 4.1577,             0.00015003,             0.00015003,             0.00015003
                      2,                 3.8203,                 4.5206,                 4.1837,                 0.0067,                 0.1223,                 0.0038,                0.00115,                 3.7471,                 4.2996,                 4.1511,             0.00030419,             0.00030419,             0.00030419
                      3,                 3.8454,                 4.4514,                 4.1667,                0.00334,                0.15108,                0.00303,                0.00081,                 3.7346,                 4.2829,                 4.1368,             0.00044514,             0.00044514,             0.00044514
                      4,                 3.9298,                 4.3283,                 4.1234,                0.00333,                0.19424,                0.00327,                0.00092,                 3.6969,                 4.2393,                 4.1053,             0.00057289,             0.00057289,             0.00057289
                      5,                 3.9518,                 4.1672,                 4.0753,                0.00355,                0.20863,                0.00696,                0.00171,                 3.6528,                 4.1979,                 4.0438,             0.00068744,             0.00068744,             0.00068744
                      6,                 3.8592,                 4.1358,                 4.0346,                0.00348,                0.19424,                0.00804,                0.00239,                 3.6797,                 4.1398,                 3.9799,             0.00078879,             0.00078879,             0.00078879
                      7,                 3.7232,                 4.0263,                 3.9772,                0.00375,                0.15827,                0.00386,                0.00095,                 3.7284,                 4.1377,                 3.9518,             0.00087694,             0.00087694,             0.00087694
                      8,                 3.7532,                 3.9707,                 3.8806,                0.00377,                0.16547,                 0.0031,                0.00091,                 3.7299,                 4.1141,                 3.9476,             0.00095188,             0.00095188,             0.00095188
                      9,                 3.6916,                 3.9675,                 3.8084,                 0.0029,                0.20863,                0.00981,                0.00248,                 3.6218,                 3.9687,                 3.8809,              0.0010136,              0.0010136,              0.0010136
                     10,                 3.5722,                  3.956,                 3.7409,                0.00277,                0.19424,                0.00195,                0.00059,                 3.7349,                  4.113,                 3.8693,              0.0010622,              0.0010622,              0.0010622
                     11,                 3.4889,                 3.9558,                 3.6206,                0.00362,                0.15108,                 0.0035,                0.00097,                 3.8904,                 4.4915,                 4.1979,              0.0010069,              0.0010069,              0.0010069
                     12,                 3.6059,                 3.9114,                 3.6207,                 0.0029,                0.19424,                0.00501,                0.00147,                 3.6994,                 4.2335,                 3.8443,              0.0010069,              0.0010069,              0.0010069
                     13,                 3.5166,                 3.9119,                 3.5456,                0.00253,                0.20144,                0.00248,                0.00075,                  3.424,                 4.1175,                 3.7539,             0.00094085,             0.00094085,             0.00094085
                     14,                  3.548,                 3.8066,                 3.5115,                0.00217,                0.17266,                0.00188,                0.00063,                 3.4501,                 4.1063,                 3.6283,             0.00087484,             0.00087484,             0.00087484
                     15,                 3.4831,                 3.7523,                 3.4377,                0.00255,                0.18705,                0.00199,                0.00065,                  3.548,                 4.0478,                 3.6934,             0.00080883,             0.00080883,             0.00080883
                     16,                 3.2914,                 4.1479,                 3.4318,                0.00447,                0.26619,                0.00489,                0.00116,                 3.2875,                 3.9348,                  3.527,             0.00074282,             0.00074282,             0.00074282
                     17,                 3.3031,                 3.9956,                 3.3719,                 0.0051,                0.32374,                0.00805,                0.00161,                 3.1297,                  3.875,                 3.4006,              0.0006768,              0.0006768,              0.0006768
                     18,                 3.2232,                 4.0316,                 3.3752,                   0.08,                0.02878,                0.00921,                0.00173,                 3.1465,                 3.9115,                  3.417,             0.00061079,             0.00061079,             0.00061079
                     19,                 3.0724,                 3.9579,                 3.2559,                0.42265,                0.01439,                0.01324,                0.00251,                  3.164,                 3.9051,                 3.4041,             0.00054478,             0.00054478,             0.00054478
                     20,                 3.0537,                 3.9181,                  3.267,                 0.6786,                0.01439,                0.02367,                0.00363,                 3.1091,                 3.8734,                 3.3372,             0.00047876,             0.00047876,             0.00047876
                     21,                 3.0228,                 3.8376,                 3.2492,                0.12681,                0.02158,                0.02573,                0.00419,                 2.9838,                 3.8188,                 3.2816,             0.00041275,             0.00041275,             0.00041275
                     22,                 2.9783,                 3.8311,                 3.2037,                0.16889,                0.02158,                 0.0244,                0.00445,                 2.8713,                 3.7479,                 3.2594,             0.00034674,             0.00034674,             0.00034674
                     23,                 3.0303,                 3.8751,                 3.1954,                0.08978,                0.03597,                0.01934,                0.00394,                 2.8699,                 3.7084,                 3.2681,             0.00028072,             0.00028072,             0.00028072
                     24,                 3.0062,                 3.8022,                 3.1873,                0.07895,                0.05551,                0.01789,                0.00427,                  2.843,                 3.6646,                 3.2505,             0.00021471,             0.00021471,             0.00021471
                     25,                 2.9498,                 3.7589,                 3.1484,                0.06947,                0.01439,                0.02266,                0.00495,                 2.8428,                 3.6434,                 3.2276,              0.0001487,              0.0001487,              0.0001487
