                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1957,                 4.0355,                  4.215,                0.00381,                0.39169,                0.00627,                0.00147,                 2.9434,                 4.1771,                 4.1529,             0.00025005,             0.00025005,             0.00025005
                      2,                 3.0909,                 3.6976,                 4.1241,                0.00377,                0.39983,                0.01053,                0.00271,                 2.8958,                 4.1682,                 4.1319,             0.00051165,             0.00051165,             0.00051165
                      3,                 3.0359,                 3.4292,                 3.8854,                0.00381,                0.39888,                0.00479,                0.00142,                 2.7906,                 4.1285,                 4.0782,             0.00076798,             0.00076798,             0.00076798
                      4,                 2.9285,                 3.0701,                 3.5744,                0.00387,                0.40814,                0.00739,                0.00271,                 2.6784,                 4.1051,                 3.9935,               0.001019,               0.001019,               0.001019
                      5,                 2.7478,                 2.8048,                 3.3418,                0.00409,                0.42253,                0.05583,                0.02521,                 2.5723,                 4.2637,                  3.693,              0.0012648,              0.0012648,              0.0012648
                      6,                 2.6751,                 2.7327,                 3.0895,                0.64726,                0.10072,                0.07172,                0.02625,                 2.5369,                 5.2319,                 3.6955,              0.0015053,              0.0015053,              0.0015053
                      7,                 2.5556,                 2.4962,                 2.9057,                  0.231,                0.08916,                0.01625,                0.00546,                 2.9685,                 3.9785,                 4.2744,               0.001568,               0.001568,               0.001568
                      8,                 2.4891,                 2.3395,                 2.8133,                0.14149,                0.37009,                0.15717,                0.05819,                 2.1224,                 4.3366,                 3.1734,               0.001568,               0.001568,               0.001568
                      9,                 2.3178,                 2.0483,                 2.5595,                0.30918,                 0.3744,                0.31368,                0.11845,                 2.2487,                 2.7847,                 2.9855,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.2674,                 1.9543,                 2.4729,                0.47631,                0.59149,                0.50843,                0.21356,                 1.9099,                 3.4399,                  2.347,               0.001535,               0.001535,               0.001535
                     11,                 2.1159,                 1.8099,                 2.3168,                0.82203,                 0.6353,                0.73746,                0.37389,                 1.7103,                 4.0933,                 2.2511,              0.0015185,              0.0015185,              0.0015185
                     12,                 2.0856,                 1.7905,                 2.2768,                0.62895,                0.46697,                0.59894,                0.30525,                 1.5993,                 3.4588,                 2.0637,               0.001502,               0.001502,               0.001502
                     13,                 1.9437,                 1.6062,                  2.118,                0.63827,                 0.7486,                0.70287,                 0.3375,                 1.6126,                 3.8765,                 2.1331,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.8563,                 1.5697,                 2.0386,                0.77139,                0.70355,                0.78105,                0.41227,                 1.5363,                 4.2663,                 2.0186,               0.001469,               0.001469,               0.001469
                     15,                 1.8282,                 1.5423,                 2.0412,                0.81393,                0.71807,                0.84985,                0.47061,                 1.4448,                 2.2145,                  1.896,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.8046,                 1.4691,                 2.0383,                0.70039,                0.70146,                0.82029,                0.47129,                 1.3809,                 2.0516,                 1.8787,               0.001436,               0.001436,               0.001436
