                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.273,                  4.013,                 4.2039,                0.00418,                0.31415,                0.00881,                0.00241,                 3.6912,                 4.1751,                 4.1584,             0.00013336,             0.00013336,             0.00013336
                      2,                 3.1745,                 3.6832,                 4.1393,                0.00494,                 0.3717,                0.08334,                0.01871,                 3.6806,                 4.1775,                 4.1546,             0.00027778,             0.00027778,             0.00027778
                      3,                 3.2718,                 3.2504,                  4.012,                0.00489,                 0.3717,                0.10314,                0.02868,                 3.6581,                 4.1822,                 4.1457,             0.00041626,             0.00041626,             0.00041626
                      4,                 3.1165,                  3.026,                 3.8592,                0.00489,                 0.3717,                0.00878,                0.00312,                 3.6411,                 4.1926,                  4.141,             0.00054879,             0.00054879,             0.00054879
                      5,                 3.0207,                 2.7618,                  3.702,                0.00506,                 0.3717,                0.01159,                 0.0043,                  3.604,                 4.1851,                 4.1284,             0.00067539,             0.00067539,             0.00067539
                      6,                  2.869,                  2.616,                 3.5172,                0.00596,                 0.3717,                0.01073,                0.00314,                 3.5679,                 4.1607,                 4.1106,             0.00079604,             0.00079604,             0.00079604
                      7,                 2.7682,                 2.4373,                 3.2954,                0.00545,                 0.3741,                0.01322,                0.00507,                  3.504,                 4.1161,                 4.0325,             0.00091076,             0.00091076,             0.00091076
                      8,                 2.7247,                 2.2243,                 3.1551,                0.00564,                 0.3717,                0.02148,                0.00843,                 3.4739,                 4.0339,                 3.9474,              0.0010195,              0.0010195,              0.0010195
                      9,                 2.6446,                 2.0936,                 2.9781,                0.56743,                0.07674,                0.12519,                 0.0635,                 3.3501,                 3.7258,                 3.6562,              0.0011224,              0.0011224,              0.0011224
                     10,                 2.5674,                 2.0376,                 2.8445,                0.34674,                0.13493,                0.10207,                0.03358,                 3.3943,                 3.7546,                 3.5966,              0.0012192,              0.0012192,              0.0012192
                     11,                 2.4995,                 2.0065,                 2.7285,                0.43997,                0.19405,                0.16039,                0.06252,                 3.4081,                  3.741,                 3.6147,              0.0013102,              0.0013102,              0.0013102
                     12,                 2.3948,                 1.8653,                  2.636,                0.50336,                0.18945,                0.20615,                0.07198,                 3.2909,                 3.2227,                 3.3699,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.2202,                 1.7463,                 2.4559,                0.56393,                0.21088,                0.20503,                0.06322,                 3.2637,                 3.5203,                 3.4089,              0.0013039,              0.0013039,              0.0013039
                     14,                 2.1652,                  1.625,                 2.3153,                0.27259,                0.41428,                0.31298,                0.11935,                 2.2865,                 2.9568,                 2.6355,              0.0012709,              0.0012709,              0.0012709
                     15,                 2.1568,                 1.6316,                 2.3962,                0.63315,                0.58359,                0.57038,                0.18686,                 2.5895,                 2.1645,                 2.6427,              0.0012379,              0.0012379,              0.0012379
                     16,                 2.1473,                 1.5722,                 2.3586,                 0.5663,                 0.8705,                0.66205,                0.32534,                 1.7855,                 2.8283,                 2.2538,              0.0012049,              0.0012049,              0.0012049
                     17,                 2.0035,                 1.4342,                 2.1548,                0.88974,                 0.8753,                0.90572,                0.37428,                 1.9123,                 1.9239,                 2.1896,              0.0011719,              0.0011719,              0.0011719
